Piege;abat;abov;abpa;amlu;amsi;amti;babu;caau;cacr;cacv;cait;cane;capr;cavi;dygl;lema;lias;mela;nebr;nobi;noru;plli;pocu;ptma;ptme;ptni;ptob;ptst;RS_all;Abdce_all;RS_brachypterous;Abdce_brachypterous;RS_macropterous-di_polymorphic;Abdce_macropterous-di_polymorphic;RS_open_generalist;Abdce_open_generalist;RS_woodland;Abdce_woodland
215_3_W;5;0;6;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;18;4;17;1;1;1;1;4;17
216_4_E;13;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;24;4;21;1;3;0;0;5;24
216_4_N;2;0;2;0;1;0;0;0;1;0;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;27;5;26;1;1;1;1;5;26
216_4_S;6;0;2;1;0;0;0;0;2;0;0;0;1;14;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;27;6;26;1;1;1;1;6;26
216_4_W;7;0;6;0;0;0;0;0;6;0;0;1;4;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;39;6;38;1;1;0;0;7;39
219_1_E;0;0;0;0;0;0;0;1;1;0;0;1;2;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;31;5;31;0;0;1;1;4;30
219_1_N;1;0;2;0;0;0;0;2;2;0;0;0;3;7;0;0;0;0;0;0;0;0;0;1;0;2;0;0;8;20;7;18;1;2;1;2;7;18
219_1_S;0;0;0;0;0;0;0;0;0;0;0;0;3;20;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;24;2;23;1;1;1;1;2;23
219_1_W;0;0;0;0;0;0;0;0;0;0;0;0;5;22;0;0;0;0;0;0;0;0;0;0;0;18;0;0;3;45;2;27;1;18;0;0;3;45
219_4_E;7;0;1;1;0;0;0;0;1;0;0;0;4;15;0;0;0;0;0;3;0;0;0;0;0;1;2;0;9;35;5;28;4;7;1;1;8;34
219_4_N;5;0;0;0;0;0;0;1;0;0;0;0;7;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;30;4;29;1;1;1;1;4;29
219_4_S;9;0;0;0;0;0;0;0;1;0;0;2;7;21;0;0;0;0;0;0;3;0;0;0;0;0;0;0;6;43;5;40;1;3;0;0;6;43
219_4_W;5;0;1;0;0;0;0;0;3;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;5;1;0;7;23;5;17;2;6;0;0;7;23
245_2_E;21;0;10;0;0;0;1;0;1;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;42;6;41;1;1;1;1;6;41
245_2_N;12;0;6;0;0;0;1;0;1;1;0;0;5;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;47;6;46;1;1;1;1;6;46
