stand;plot;mixture_stand;mixture_plot;cat_mixture_plot;G_all_plot;AEGCAU;ANTTRI;CARCAR;CERBRA;COCCOC;COLOEN;COLPAL;CORCOR;CUCCAN;DENMAJ;DENMED;DENMIN;ERIRUB;FICHYP;FRICOE;GARGLA;ORIORI;PARATE;PARCAE;PARCRI;PARMAJ;PARPAL;PHOPHO;PHYBON;PHYCOL;PHYSIB;PHYTRO;PICVIR;PRUMOD;REGIGN;REGREG;SITEUR;STRTUR;STUVUL;SYLATR;TROTRO;TURMER;TURPHI;TURVIS;SR_all;SR_Generalist1;SR_Oak;SR_Pine;SR_Generalist2;SR_Oak_Mixed;SR_Pine_Mixed;Abdce_all;Abdce_Generalist1;Abdce_Oak;Abdce_Pine;Abdce_Generalist2;Abdce_Oak_Mixed;Abdce_Pine_Mixed
162;162_2;1;4;pine;20;0;1;0;1;0;0;1;0;0;0;0;0;1;0;4;0;0;1;0;1;1;0;0;2;1;2;0;0;0;0;1;0;0;0;0;1;0;0;1;14;11;0;3;9;2;0;19;16;0;3;13;3;0
162;162_3;1;1;pine;20;0;1;0;1;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;1;1;0;0;1;1;3;0;0;0;0;1;2;0;0;0;0;0;0;0;11;8;1;2;7;1;0;17;13;2;2;10;3;0
166;166_1;66;62;mixed;21;0;0;0;1;0;0;1;1;0;0;0;0;1;0;2;0;0;1;3;1;1;0;0;2;2;1;0;0;0;0;1;1;0;0;3;0;0;0;0;15;10;2;3;8;2;0;22;15;4;3;11;4;0
166;166_2;66;59;mixed;21;0;2;0;1;0;0;1;0;0;1;0;0;1;0;2;0;0;0;1;0;1;0;0;2;2;1;1;0;1;0;0;1;0;1;1;2;0;0;0;17;14;2;1;10;4;0;22;19;2;1;14;5;0
166;166_3;66;57;mixed;21;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;2;4;2;0;1;4;1;1;0;1;1;0;2;0;0;1;2;0;0;0;16;11;3;2;6;4;1;28;19;6;3;13;5;1
215;215_1;21;23;mixed;30;0;1;1;0;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;1;2;0;0;0;13;11;0;2;7;4;0;15;13;0;2;8;5;0
215;215_2;21;18;pine;30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;2;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;10;9;0;1;4;4;1;14;13;0;1;8;4;1
215;215_3;21;59;mixed;30;0;1;0;1;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;1;4;0;1;2;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;14;11;1;2;9;2;0;22;19;1;2;17;2;0
216;216_1;21;13;pine;25;0;1;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;1;0;0;2;0;0;0;3;1;0;0;0;0;2;0;0;0;1;1;0;0;0;10;8;0;2;5;3;0;17;14;0;3;11;3;0
216;216_2;21;47;mixed;25;0;1;1;1;0;0;1;0;0;0;0;0;2;0;4;0;0;0;1;0;5;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10;1;0;8;2;0;21;20;1;0;17;3;0
216;216_3;21;62;mixed;25;0;0;0;1;0;0;0;0;0;1;0;0;1;0;2;0;0;0;1;1;4;1;0;2;0;0;0;0;0;1;1;1;0;0;0;2;0;0;0;13;8;3;2;6;1;1;19;12;3;2;11;2;1
218;218_1;4;9;pine;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;7;5;1;1;3;2;0;12;8;1;3;6;2;0
218;218_2;4;2;pine;25;0;0;0;0;1;0;1;0;1;2;0;0;0;0;6;0;0;1;0;2;3;0;0;0;2;0;0;0;1;1;1;0;0;0;1;2;0;0;0;14;9;1;4;6;2;1;25;19;1;5;15;3;1
218;218_3;4;1;pine;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;1;2;1;0;0;0;0;1;0;0;0;1;1;0;0;0;9;6;1;2;3;3;0;12;9;1;2;6;3;0
219;219_1;5;3;pine;23;0;0;0;0;0;0;1;0;0;2;0;0;0;0;4;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;8;7;0;1;5;2;0;13;12;0;1;10;2;0
219;219_2;5;6;pine;23;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;4;0;1;3;1;0;8;6;0;2;5;1;0
219;219_3;5;9;pine;23;2;2;0;0;0;0;1;0;0;1;0;0;1;0;4;0;0;0;0;2;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;11;10;0;1;7;2;1;19;17;0;2;12;4;1
223;223_1;98;91;oak;34;0;1;2;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;3;0;1;0;1;1;2;1;0;0;0;1;0;1;0;0;1;0;0;0;0;15;13;2;0;9;3;1;25;21;4;0;16;4;1
223;223_2;98;74;mixed;34;0;0;0;1;0;0;0;0;0;2;0;0;0;0;4;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;7;5;1;1;4;1;0;12;10;1;1;9;1;0
223;223_3;98;59;mixed;34;0;0;0;2;0;0;0;0;0;1;0;1;1;0;5;0;0;0;1;0;6;1;0;0;1;3;0;0;0;0;0;3;0;1;1;1;0;0;0;14;10;4;0;7;3;0;28;22;6;0;17;5;0
