parcelle;nichoir;n_nichoir;plot;plot_Ptrap;Nb_sessions_OK;MEL_cercle;MEL_cercle_cat;MEL_parcelle;MEL_cat;G_all;Hmoy;BOULV;CHAR;CHAT;CHP;CHS;CHSP;CH_tot;AUB;GEN;NEF;POM;PS;TREM;G_Ch_PS;G_all_cercle;ALT;latitude;longitude;nichoir selec polytrap;veg1;taux_veg1;veg2;taux_veg2;hmax;hinter;hmin;hmoy;hsd;RS_all;Abdce_all;RS_brachypterous;Abdce_brachypterous;RS_macropterous-di_polymorphic;Abdce_macropterous-di_polymorphic;RS_open_generalist;Abdce_open_generalist;RS_woodland;Abdce_woodland
111;1111;1;111_1;111_1_E;6;86;Oak;91;Oak;19.1125;25;0;0;0;0;13.1;0;13.1;0;0;0;0;2.2;0;15.3;15.3;0;47.8;2.5;1;FA;80;MOL;10;23.3;23.1;22.7;23;0.3;7;37;7;37;0;0;1;9;6;28
111;1111;1;111_1;111_1_N;6;100;Oak;91;Oak;19.1125;25;0;0;0;0;6.9;0;6.9;0;0;0;0;0;0;6.9;6.9;1.5;47.8;2.5;1;FA;50;NA;NA;25.4;25.2;25;25.2;0.2;7;36;6;35;1;1;1;3;6;33
111;1111;1;111_1;111_1_S;5;86;Oak;91;Oak;19.1125;25;0;0;0;0;10.4;2.8;13.2;0;0;0;0;2.2;0;15.4;15.4;0.2;47.8;2.5;1;FA;80;BM;20;25.8;25.7;24.6;25.4;0.7;7;68;6;67;1;1;2;2;5;66
111;1111;1;111_1;111_1_W;5;100;Oak;91;Oak;19.1125;25;0;0;0;0;25.2;0.7;25.9;0;0;0;0;0;0;25.9;25.9;0;47.8;2.5;1;FA;60;NA;NA;26.8;26.7;25.7;26.4;0.6;5;35;5;35;0;0;0;0;5;35
111;1113;3;111_3;111_3_E;6;69;Mixed;91;Oak;19.1125;25;0;0;0;0;15.4;0.7;16.1;0;0;0;0;7.2;0;23.3;23.3;0;47.8;2.5;1;FA;50;MOL;50;23.5;23.2;23.1;23.3;0.2;6;46;5;42;1;4;0;0;6;46
111;1113;3;111_3;111_3_S;5;79;Oak;91;Oak;19.1125;25;0;1.6;0;0;5;5.4;10.4;0;0;0;0;2.8;0;13.2;14.8;0;47.8;2.5;1;FA;50;MOL;50;26.5;25.8;25.7;26;0.4;8;46;5;42;3;4;2;3;6;43
111;1113;3;111_3;111_3_W;6;90;Oak;91;Oak;19.1125;25;0;0;0;0;14.6;6.3;20.9;0;0;0;0;2.2;0;23.1;23.1;0;47.8;2.5;1;MOL;90;FA;10;28.3;28.2;27.5;28;0.4;9;47;6;40;3;7;2;4;7;43
125;1253;3;125_3;125_3_N;6;0;Pine;1;Pine;26.625;19.2;0.7;0;0;0;0;0;0;0;0;0;0;24.8;0;24.8;25.5;0;47.8;2.5;1;FA;95;MOL;5;20.5;20.3;17.5;19;2.1;5;12;5;12;0;0;1;1;4;11
125;1253;3;125_3;125_3_S;5;0;Pine;1;Pine;26.625;19.2;0;0;0;0;0;0;0;0;0;0;0;25.4;0;25.4;25.4;0;47.8;2.5;1;FA;90;MOL;5;19.1;18.9;18.8;18.9;0.2;6;28;4;26;2;2;2;2;4;26
125;1253;3;125_3;125_3_W;5;0;Pine;1;Pine;26.625;19.2;0.7;0;0;0;0;0;0;0;0;0;0;22.8;0;22.8;23.5;0;47.8;2.5;1;FA;75;MOL;25;17.2;17;16.8;17;0.2;4;29;4;29;0;0;0;0;4;29
