plot;lat;lon;parcelle;placette;plotIBP;Abdera.bifasciata;Abdera.quadrifasciata;Acanthocinus.aedilis;Agathidium.sp.;Agrilus.angustulus;Alosterna.tabacicolor;Ampedus.balteatus;Ampedus.cinnaberinus;Ampedus.glycerus;Ampedus.nigerrimus;Ampedus.quercicola;Ampedus.sanguineus;Ampedus.sanguinolentus;Anaspis.fasciata;Anaspis.flava;Anaspis.garneysi;Anaspis.melanopa;Anaspis.thoracica;Anidorus.nigrinus;Anisotoma.humeralis;Anthribus.nebulosus;Aplocnemus.impressus;Arhopalus.rusticus;Aspidiphorus.orbiculatus;Aulonothroscus.brevicollis;Bitoma.crenata;Calambus.bipustulatus;Carpophilus.sp.;Cartodere.nodifer;Cerambyx.scopolii;Cerylon.deplanatum;Cerylon.ferrugineum;Cerylon.histeroides;Cetonia.aurata;Chrysanthia.geniculata;Cis.castaneus;Cis.micans;Cis.rugulosus;Clerus.mutillarius;Clytus.arietis;Colydium.elongatum;Cordylepherus.viridis;Corticaria.sp.;Corticeus.unicolor;Cortinicara.gibbosa;Cortodera.humeralis;Cryphalus.asperatus;Cryptarcha.strigata;Cryptarcha.undata;Cryptolestes.duplicatus;Crypturgus.cinereus;Crypturgus.pusillus;Cyclorhipidion.bodoanus;Dacne.bipustulata;Dasytes.caeruleus;Dendroctonus.micans;Denticollis.linearis;Dermestes.lardarius;Diaperis.boleti;Dissoleucas.niveirostris;Dorcatoma.sp.;Dromaeolus.barnabita;Enedreytes.sepicola;Enicmus.brevicornis;Enicmus.histrio;Enicmus.rugosus;Enicmus.testaceus;Enicmus.transversus;Epuraea.sp.;Ernobius.sp.;Euglenes.oculatus;Eulagius.filicornis;Gastrallus.immarginatus;Glischrochilus.hortensis;Glischrochilus.quadriguttatus;Glischrochilus.quadripunctatus;Globicornis.nigripes;Gnathotrichus.materiarius;Gonodera.luperus;Grammoptera.abdominalis;Grammoptera.ruficornis;Grammoptera.ustulata;Hemicoelus.fulvicornis;Hemicoelus.nitidus;Hylastes.ater;Hylastes.attenuatus;Hylastes.cunicularius;Hylastes.linearis;Hylastes.opacus;Hylastinus.obscurus;Hylesinus.fraxini;Hylis.cariniceps;Hylis.olexai;Hylis.simonae;Hylobius.abietis;Hylurgops.palliatus;Hylurgus.ligniperda;Ischnodes.sanguinicollis;Ischnomera.cyanea;Isoriphis.melasoides;Leiopus.femoratus;Leiopus.nebulosus;Leptura.aurulenta;Lissodema.denticolle;Litargus.connexus;Lucanus.cervus;Malthinus.sp.;Megatoma.undata;Melandrya.barbata;Melandrya.caraboides;Melanotus.villosus;Melasis.buprestoides;Mesosa.curculionoides;Mesosa.nebulosa;Microrhagus.pygmaeus;Mycetochara.maura;Mycetophagus.atomarius;Mycetophagus.piceus;Mycetophagus.quadriguttatus;Mycetophagus.quadripustulatus;Nalassus.laevioctostriatus;Nemozoma.elongatum;Octotemnus.glabriculus;Oligomerus.brunneus;Orchesia.undulata;Orthocis.alni;Orthocis.coluber;Orthocis.vestitus;Orthotomicus.erosus;Oxylaemus.cylindricus;Pachytodes.cerambyciformis;Palorus.depressus;Paromalus.parallelepipedus;Phloeotribus.rhododactylus;Phymatodes.testaceus;Pityogenes.bidentatus;Pityophagus.ferrugineus;Pityophthorus.buyssoni;Pityophthorus.pityographus;Pityophthorus.pubescens;Platycerus.caraboides;Platyrhinus.resinosus;Platysoma.elongatus;Platystomos.albinus;Poecilium.alni;Pogonocherus.ovatus;Prionychus.melanarius;Protaetia.fieberi;Protaetia.lugubris;Pseudocistela.ceramboides;Ptinomorphus.imperialis;Pyrochroa.coccinea;Pyrrhidium.sanguineum;Rhagium.bifasciatum;Rhagium.mordax;Rhagium.sycophanta;Rhizophagus.bipustulatus;Rhizophagus.depressus;Rhizophagus.ferrugineus;Rhizophagus.parallelocollis;Rhizophagus.picipes;Ropalopus.femoratus;Rutpela.maculata;Salpingus.planirostris;Salpingus.ruficollis;Scaphidema.metallicum;Scolytus.intricatus;Sericoderus.sp;Silvanus.unidentatus;Soronia.grisea;Soronia.punctatissima;Sphaeriestes.castaneus;Spondylis.buprestoides;Stenagostus.rhombeus;Stenurella.melanura;Stephostethus.angusticollis;Stephostethus.sp.;Stictoleptura.rubra;Stictoleptura.scutellata;Synchita.humeralis;Taphrorychus.villifrons;Thanasimus.formicarius;Thymalus.limbatus;Tomicus.piniperda;Tomoxia.bucephala;Trachodes.hispidus;Trichoceble.floralis;Triplax.lepida;Triplax.rufipes;Triplax.russica;Tritoma.bipustulata;Tropideres.albirostris;Trypodendron.domesticum;Trypodendron.signatum;Uleiota.planatus;Valgus.hemipterus;Vincenzellus.ruficollis;Xestobium.rufovillosum;Xyleborinus.saxesenii;Xyleborus.dispar;Xyleborus.dryographus;Xyleborus.monographus;Xylosandrus.germanus;SR_all;Abdce_all
142.S;47.77647;2.57676;P14;P14-N2-S;142.S;0;0;0;0;0;0;0;0;2;1;4;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0;10;0;0;0;0;8;1;0;0;0;4;3;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;1;0;1;0;2;2;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;1;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;3;3;0;2;1;40;157
144.S;47.77742;2.57531;P144;P144-N3-S;1443.S;7;0;0;0;0;0;17;0;5;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;2;0;0;2;0;0;0;10;0;0;5;0;1;0;0;0;12;0;1;2;0;10;1;1;0;0;0;22;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;5;0;0;0;0;0;1;0;0;0;0;0;0;42;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;8;4;0;2;0;44;187
1443.S;47.83254;2.52767;P144;P144-N4-E;1444.E;0;0;0;0;0;0;19;0;16;5;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;5;0;2;3;0;0;1;0;0;0;2;6;0;0;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;3;3;0;0;0;0;0;0;0;1;0;2;0;0;12;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;5;7;0;2;0;43;135
1444.E;47.83141;2.52784;P14;P14-N4-S;144.S;0;0;0;0;0;0;10;0;6;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;1;2;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;3;0;1;0;34;80
151.E;47.78006;5.57701;P15;P15-N1-E;15.R;1;0;0;0;1;0;12;0;5;1;7;0;0;0;0;2;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;18;0;2;3;0;5;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1;0;3;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;2;0;0;99;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0;0;7;0;0;0;0;60;182;0;0;0;46;463
152.S;47.77967;2.5763;P15;P15-N2-S;15.R;1;0;0;0;1;0;4;0;1;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;16;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;11;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;27;68
154.S;47.7783;2.57532;P15;P15-N4-S;154.S;4;0;0;0;0;0;6;0;5;1;4;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;3;0;0;7;1;3;0;0;0;8;0;3;1;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;4;4;1;1;3;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;6;0;1;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;9;3;0;1;1;43;122
1622.S;47.83717;2.5003;P162;P162-N2-S;1622.S;0;0;0;0;0;0;11;0;14;0;0;0;0;0;0;10;1;0;0;0;0;5;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;2;0;1;0;3;0;3;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;3;3;0;3;1;0;0;0;0;3;2;0;3;0;0;0;0;0;0;0;3;0;10;8;0;0;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;1;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;1;0;0;0;1;0;0;0;46;0;0;12;0;0;0;2;0;0;1;0;0;0;0;2;0;8;0;0;0;0;0;0;0;0;0;4;0;0;2;1;20;5;0;1;5;56;242
1624.S;47.83839;2.50006;P162;P162-N4-S;1624.S;0;0;0;0;0;0;9;0;1;0;1;0;0;0;1;2;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;21;0;4;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;0;0;0;1;0;0;13;0;1;0;0;0;0;0;1;0;0;0;2;0;7;0;0;0;0;0;0;0;0;0;7;0;0;4;0;7;1;2;0;3;40;147
1662.S;47.82678;2.49153;P166;P166-N2-S;na;0;0;0;0;0;0;4;0;3;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;12;0;2;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;3;20;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;1;1;0;1;0;0;0;0;16;3;0;0;1;36;120
