classement systematique;FD Montargis;F Orléans et alentours;GNB;Vallees2007;n FE;Famille;Sous Famille;Tribu;Genre SousGenre;Genre;(SousGenre);Espèce SousEspèce;Espèce;SousEspèce;Auteur;France;code6;code4;code_sp;Genre SousGenre Espèce;Synonymous;Entomotec validation for the valley reference collection;J. COULON validation for the valley reference collection;altitude (Coulon et al, 2000);(2)altitude classes desender 1986;Altitude Jeannel;"altitude I (lowland-mountain;lowland-atpine)";altitude II (lowland-alpine);humidity (Coulon et al, 2000);humidity Jeannel;Freude Harde lohse  1976;humidity;habitat type desender etal 2008;consistensy (desender 2008);HK desender 1995;(10)habitat preference codes desender 1986;habitat type Jeannel;Habitat type Freude Harde lohse  1976;"habitat type 
(Coulon et al, 2000)";closeness 2;closeness 1;closeness.wing;RLK desender 1995;redlist categories desender etal 2008;(7)mean beetle size(mm) desender 1986;mean-beetle-size(mm)-desender-etal-2008 ou Hurka;Beetle size Ribera et al 1999;mean-beetle-size(mm);(8)wing developmental type desender 1986;Wing development Ribera et al.1999;Wing development Barbaro et al 2009;Wing morphology Cole et al.1999;wing-developmental-type-desender-etal-2008;Wing Hurka et al. 1996;Wing Turin et al. 2000;Wing Jeannel;hing wing development Baguette 1993;wing type;wing1;(9)main reprodutive period desender 1986;breeding season Ribera et al.1999;breeding season Cole et al.2002;Breeding season Barbaro et al 2009;Mating and ovoposition Turin et al 2000;Reproduction Luff 1998;breeding season den boer 1990;reproductive season butterfield 1996;Reproductive seasons Baguette 1993;Breeding season;overwintering Ribera et al.1999;overwintering Cole et al.2002;Overwintering Barbaro et al 2009;Overwintering Turin et al 2000;overwintering butterfield 1996;daily activity Ribera et al.l999.;daily activity Cole et al.2002.;Daily activity Barbaro et al 2009;Daily activity Turin at 2009;Daily activity Greenslade 1963;daily activity Luff 1978;duration of the life cycle Ribera et al.1999;life cycle Cole et al.1999;food of the adult Ribera et al 1999.;Feeding group Purtauf et al 2005;food of the adults Cole et al2002.;Diet Barbaro et al 2009;Diet Turin et al 2000;Diet Larochelle 1990;Diet Zetto ;Diet Freude Harde lohse  1976;Diet coleotteri carabidi 2005;Diet;Adult activity period Barbaro et al 2009;(3)soil type affinity desender 1986;(4)calc soil affinity desender 1986;(5)acid sand clay affinity desender 1986;(6)woodland cover desender 1986;(7)woodland type desender 1986;(8)river rivulets affinity desender 1986;(10)aridity index desender 1986;(11)minimal temp reaction desender 1986;(4)total distribution area desender 1986;Coulon observations;desender observations;Cole observation;Turin observations;Jeannel observations;larochelle observations;zetto observations;Luff observations;den boer observations;butterfield observations;loreau observations;general observations;closeness 1;closeness 2;humidity 1;humidity 2;;;
78;Fmontargis;FD Orléans;GNB;V;3381;Carabidae;Pterostichinae;Zabrini;Amara (Amara);Amara;(Amara);similata;similata;;(Gyllenhal, 1810);Présent;AmAmsi;Amsi;amsi;Amara (Amara) similata;;yes;;<=mountain;2;;lowland-mountain;lowland-alpine;indifferent;;;indifferent;brushwood and fields;;rudeal sites and arable land;ruderal habitats and cultivated fields;;;;openland;openland;openland-not.brachypterous;no risk;safe;8.8;8.8;;6-11,9;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;larvae;;NA;NA;NA;mainly diurnal;NA;NA;NA;NA;NA;omnivorous;NA;NA;NA;principally phytophagous ;NA;;;omnivorous;NA;L+ZL;;;;;;3;4;paleartic;;;;;;;;;;;;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
;Fmontargis;FD Orléans;;;3384;Carabidae;Pterostichinae;Zabrini;Amara (Amara);Amara;(Amara);tibialis;tibialis;;(Paykull, 1798);Présent;AmAmti;Amti;amti;Amara (Amara) tibialis;;;;;;;;;indifferent;;;xerophilous;dunes and beaches;;;;;;meadow;openland;openland;openland-not.brachypterous;;;5.3;;;<6;;;;;macropter;;;;;macropterous;not.brachypterous;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;;;;V;3445;Carabidae;Pterostichinae;Zabrini;Amara (Curtonotus);Amara;(Curtonotus);aulica;aulica;;(Panzer, 1797);Présent;AmCuau;Amau;amau;Amara (Curtonotus) aulica;;yes;;<=subalpine;;;<=subalpine;<=subalpine;indifferent;;;indifferent;moist-grassland;;moist grasslandss;13;;;;moist-grassland;moist-grassland;;no risk;vulnerable;12.8;12.8;;12.8;m;NA;;;macropter;;;;;macropter;;Summer-Autumn;;;;;;;;;;;;;;;;;;;;;;;mostly plant material;phytophagous;NA;NA;NA;phytophagous (France flowers and ripe seeds of Achillea millefolium…);NA;;;;;;;;;;;-2;;A;;;;;;;;;;;;;open-habitat;open-eurytopic;hygrophilous;hygrophilous-eurytopic;;;
;FMontargis;;;;3505;Carabidae;Pterostichinae;Zabrini;Amara (Percosia);Amara;(Percosia);equestris;equestris;;(Duftschmid, 1812);Présent;Amara (Percosia) equestris;Ameq;ameq;Amara (Percosia) equestris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;Mixed (Ukrainia eggs of orthoptera - Italy principally granivorous);NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;;;GNB;;3521;Carabidae;Pterostichinae;Zabrini;Amara (Zezea);Amara;(Zezea);plebeja;plebeja;;(Gyllenhal, 1810);Présent;Amara (Zezea) plebeja;;ampl;Amara (Zezea) plebeja;;;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;xerophilous;hygrophilous;moist habitat eurytopic;moist;other moist habitats (eurytopic);different humid habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;7;6.8;;6-11,9;constantly macropterous;macropterous;NA;macropterous;macropter;;;;NA;macropterous;not.brachypterous;Spring;spring;spring/summer;NA;spring;;spring;;NA;spring;adult;adult;NA;larvae;;diurnal;diurnal;NA;NA;NA;NA;one year;1 year;mostly plant material;phytophagous;mostly plant;NA;NA;principally phytophagous ;NA;;;mostly phytophagous;NA;;;;;;;;;paleartic;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-eurytopic;;;
80;;;;V;3527;Carabidae;Pterostichinae;Zabrini;Amara (Zezea);Amara;(Zezea);strenua;strenua;;Zimmermann, 1832;Présent;Amara (Zezea) strenua;Amst;zest;Amara (Zezea) strenua;;yes;;<= hill ;;;<= hill ;<= hill ;indifferent;;;indifferent;moist-grassland;;river and rivulets banks;;;;;moist-grassland;moist-grassland;;NA;vulnerable;9;9;;9;m;NA;;;macropter;;;;;macropter;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;phytophagous (granivorous);NA;;;;;;;;;;;;;B;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-eurytopic;;;
66;;;;V;3544;Carabidae;Platyninae;;Anchomenus (Anchomenus);Anchomenus;(Anchomenus);dorsalis;dorsalis;;(Pontoppidan, 1763);Présent;AnAndo;Ando;ando;Anchomenus (Anchomenus) dorsalis;=Platynus dorsalis;yes;;<= hill ;1;;<= hill ;<= hill ;thermophilous;;;thermophilous;ruigten-en-akkers(set-aside field?);;dry habitats-eurytopic. rudeal-arable-land;19,12;;;;ruigten-en-akkers(set-aside field?);ruigten-en-akkers(set-aside field?);;no risk;safe;6.7;6.7;;6.7;m;3;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;generalist predator;NA;generalist predator;NA;NA;principally predator (exept England spores and plant material);NA;;;;;L+ZL;;;;;;3;6;A;;;;;;;;;;;;;eurytopic;eurytopic;eurytopic;eurytopic;;;
82;;;;V;3572;Carabidae;Harpalinae;;Anisodactylus (Anisodactylus);Anisodactylus;(Anisodactylus);binotatus;binotatus;;(Fabricius, 1787);Présent;AnAnbi;Anbi;anbi;Anisodactylus (Anisodactylus) binotatus;;yes;;<=mountain;3;;<=mountain;<=mountain;indifferent;;;indifferent;moist-habitat-eurytopic;;moist habitats-eurytopic;20;;;;moist-habitat-eurytopic;moist-habitat-eurytopic;;no risk;safe;11;11;;11;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;na;NA;NA;NA;NA;mixed (worms, mollusks, seeds and pulp of strawberries);NA;;;;;Z+ZL;;;;;;;2;A;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-eurytopic;;;
41;;;GNB;V;3889;Carabidae;Trechinae;;Asaphidion;Asaphidion;(..);curtum;curtum;;(Heyden, 1870);Présent;As..cu;Ascu;ascu;Asaphidion curtum;;yes;BN det sent to J. coulon ?;<= hill ;;;lowland-hill ;lowland-hill ;hygrophilous;;hygrophilous;hygrophilous;woodland eurytopic;indifferent;woodland (stenotopic);NA;;;;woodland eurytopic;woodland;woodland-not.brachypterous;no risk;safe;NA;4.2;;<6;NA;NA;NA;NA;macropter;NA;macropterous?;;NA;macropterous;not.brachypterous;NA;NA;NA;NA;NA;spring;NA;;NA;spring;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;carnivorous;NA;;;;;;;;;NA;;;;;;;;biological feature probably //  flavipes;asaphidion flavipes '= spring;;arthropods;;forest;forest-stenotopic;hygrophilous;hygrophilous-eurytopic;;;
;;FD Orléans;GNB;;;Carabidae;Trechinae;;Asaphidion;Asaphidion;;;sp.;;;;Assp;Assp;assp;Asaphidion sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Fmontargis;FD Orléans;GNB;V;3902;Carabidae;Licininae;;Badister (Badister);Badister;(Badister);bullatus;bullatus;;(Schrank, 1798);Présent;BaBabu;Babu;babu;Badister (Badister) bullatus;Badister bipustulatus (Fabricius 1792);yes;validated by J. Coulon;<= hill ;;;lowland-hill ;lowland-hill ;hygrophilous;;hygrophilous (low);hygrophilous;woodland eurytopic;indifferent;other dry habitats (eurytopic) and  woodland (eurytopic);woodland (eurytopic) and beaches and dune slacks;;;;woodland eurytopic;woodland;woodland-not.brachypterous;no risk;safe;5,4;5.4;;<6;constantly macropterous;macropterous;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;spring;NA;NA;spring until summer;;NA;;NA;spring;adult and larvae or only larvae;NA;NA;larvae;;diurnal;NA;NA;NA;NA;NA;one year;NA;generalist predator;NA;NA;NA;NA;carnivorous  ;NA;;;carnivorous;NA;;;;;;;;;circumpolar;;;;;;;;;;;;;forest;forest-eurytopic;hygrophilous;hygrophilous-eurytopic;;;
108;;;;V;3903;Carabidae;Licininae;;Badister (Badister);Badister;(Badister);lacertosus;lacertosus;;Sturm, 1815;Présent;BaBala;Bala;bala;Badister (Badister) lacertosus;;yes;;<= hill ;3;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;dry-habitat-eurytopic;;dry habitats-eurytopic;;;;;dry-habitat-eurytopic;dry-habitat-eurytopic;;no risk;safe;6;6;;6;M;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;Z+ZL;;;;;;2;2;A;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-eurytopic;;;
;;;GNB;;3904;Carabidae;Licininae;;Badister (Badister);Badister;(Badister);meridionalis;meridionalis;;Puel, 1925;Présent;BaMeri;Bame;bame;Badister (Badister) meridionalis;;;;<= hill ;;;lowland-hill ;lowland-hill ;hygrophilous;;hygrophilous;hygrophilous;NA;NA;NA;NA;;marshy shore,edge of wet fields, swamp forest (eurytopic);;generalist;generalist;generalist-not.brachypterous;;NA;NA;6.8;;6-11,9;NA;NA;macropterous;NA;NA;;;;NA;macropterous;not.brachypterous;NA;NA;NA;spring breeder;NA;;NA;;NA;spring;NA;NA;imago and larvae;NA;;NA;NA;both diurnal/nocturnal;NA;NA;NA;NA;NA;NA;NA;NA;generalist predators;NA;NA;NA;;;carnivorous;early spring;;;;;;;;;NA;;;;;;;;;;;;;;;;;;;
109;;;;V;3911;Carabidae;Licininae;;Badister (Trimorphus);Badister;(Trimorphus);sodalis;sodalis;;(Duftschmid, 1812);Présent;BaTrso;Baso;baso;Badister (Trimorphus) sodalis;;yes;;<= hill ;1;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;moist-habitat-eurytopic;;moist habitats-eurytopic;20;;edge of wet fields;;moist-habitat-eurytopic;moist-habitat-eurytopic;;no risk;safe;4.3;4.3;;4.3;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;L+ZL;;;;;;3;4;C;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-eurytopic;;;
;;;GNB;;;Carabidae;Licininae;;Badister (Badister);Badister;;;;;;;Ba;Ba;basp;Badister sp.;;;;NA;;;;;;;;NA;NA;;NA;NA;;;;;;-;NA;NA;NA;NA;;;NA;NA;NA;NA;;;;;;;;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;;;NA;NA;NA;NA;NA;NA;;;NA;;;;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;;;V;3914;Carabidae;Trechinae;;Bembidion;Bembidion;(..);quadrimaculatum;quadrimaculatum;;(Linnaeus, 1761);Présent;Be..qu;Bequ;bequ;Bembidion quadrimaculatum;;no;BN det validated by J. coulon;<= hill ;1;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;dry-grassland;;dry grasslands-eurytopic. ruderal sites and arable land;14,12;;;;dry-grassland;dry-grassland;;no risk;safe;3.2;3.2;;3.2;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;surely carnivorous (but in Sweden young plant of Pisum are eaten);NA;;;;;;;;;;;3;1;F;;;;;;;;;;;;;open-habitat;open-eurytopic;hygrophilous;hygrophilous-eurytopic;;;
123;;;;V;3981;Carabidae;Brachininae;;Brachinus (Brachinus);Brachinus;(Brachinus);crepitans;crepitans;;(Linnaeus, 1758);Présent;BrBrcr;Brcr;brcr;Brachinus (Brachinus) crepitans;;yes;;<=mountain;-3;;<=mountain;<=mountain;thermophilous;;;xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;;calc grasslandss, stony slopes and other xerothermic habitats;18;;;;openland;openland;;critically endangered;critically endangered;8.3;8.3;;8.3;m;NA;;;macropter;;;;;macropter;;SpringSummer-Autumn;;;;;;;;;;;;;;;;;;;;;;;NA;carnivorous;NA;NA;NA;Germany (rolled oats in captivity) - Russia (insect larvae in field);NA;;;;;SL;*;;2;5;;-2;-3;A;;;;;;;;;;;;;open-habitat;open-stenotopic;xerophilous;xerophilous-eurytopic;;;
124;;;;V;4022;Carabidae;Harpalinae;;Brachinus (Brachinus);Brachinus;(Brachinus);ganglbaueri;ganglbaueri;;Apfelbeck, 1904;;BrBrga;Brga;brga;Brachinus (Brachinus) ganglbaueri;! Fauna Zeuropea : Bradicellus ganglbaueri, no Brachinus ganglbaueri;no;BN det validated by J. Coulon;<= hill ;;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;;;NA;;;;;;;;NA;;;8.1;;8.1;;NA;;;macropter(?);;;;;macropter(?);;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;open-habitat;open-eurytopic;hygrophilous;hygrophilous-eurytopic;;;
125;;;;V;3991;Carabidae;Brachininae;;Brachinus (Brachynidius);Brachinus;(Brachynidius);explodens;explodens;;Duftschmid, 1812;Présent;BrBrex;Brex;brex;Brachinus (Brachynidius) explodens;;yes;;<=mountain;-3;;<=mountain;<=mountain;thermophilous;;;xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;;calc grasslandss, stony slopes and other xerothermic habitats;18;;;;openland;openland;;critically endangered;extinct in the wild;6.2;6.2;;6.2;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;carnivorous;NA;NA;NA;NA;NA;;;;;SL;*;;;;;-2;-1;A;;;;;;;;;;;;;open-habitat;open-stenotopic;xerophilous;xerophilous-eurytopic;;;
126;;;;V;3997;Carabidae;Brachininae;;Brachinus (Brachynidius);Brachinus;(Brachynidius);sclopeta;sclopeta;;(Fabricius, 1792);Présent;BrBrsc;Brsc;brsc;Brachinus (Brachynidius) sclopeta;;no;BN det validated by  J. Coulon;<=mountain;-4;;<=mountain;<=mountain;thermophilous;;;xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;;calc grasslandss, stony slopes and other xerothermic habitats;18;;;;openland;openland;;extinct in FL;extinct in the wild;6.4;6.4;;6.4;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;AL;*;;;;;-2;;A;;;;;;;;;;;;;open-habitat;open-stenotopic;xerophilous;xerophilous-eurytopic;;;
100;;;GNB;;4026;Carabidae;Harpalinae;;Bradycellus (Bradycellus);Bradycellus;(Bradycellus);ruficollis;ruficollis;;(Stephens, 1828);Présent;BrBrru;Brru;brru;Bradycellus (Bradycellus) ruficollis;;;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;NA;xerophilous;dry heathland;dry;heathland and bogs;dry heathland;;;;openland;openland;openland-not.brachypterous;no risk;suspectible;3,2;3.2;;<6;constantly macropterous;macropterous;NA;macropterous;macropter;;;;macropterous;macropterous;not.brachypterous;Spring;autumn;autumn/winter;NA;Winter/early spring;;dubious spring;;spring;spring;adult;adult;NA;larvae;;NA;nocturnal;NA;NA;NA;NA;one year;1 year;mostly plant material;NA;mostly plant;NA;NA;NA;NA;;;mostly phytophagous;NA;;;;;;;;;euro-mediterranean;;;species where specific attribute information was assumed to be similar to the most related species for daily activity;;;;;;;;;;open-habitat;open-eurytopic;xerophilous;eurytopic;;;
99;;;;V;4028;Carabidae;Harpalinae;;Bradycellus (Bradycellus);Bradycellus;(Bradycellus);verbasci;verbasci;;(Duftschmid, 1812);Présent;BrBrve;Brve;brve;Bradycellus (Bradycellus) verbasci;;no;BN det validated by J. coulon;<= hill ;;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;dry-habitat-eurytopic;;dry habitats-eurytopic. rudeal sites-arable land;19,12;;;;dry-habitat-eurytopic;dry-habitat-eurytopic;;no risk;safe;5;5;;5;m;NA;;;macropter;;;;;macropter;;mainly Spring;;;;;;;;;;;;;;;;;;;;;;;mostly plant material;NA;mostly plant;NA;NA;England in captivity eggs of diptera;NA;;;;;L+ZL;;;;;;3;;C;;;;;;;;;;;;;open-habitat;open-eurytopic;xerophilous;xerophilous-eurytopic;;;
69;Fmontargis;;GNB;;4054;Carabidae;Platyninae;;Calathus (Amphyginus);Calathus;(Amphyginus);rotundicollis;rotundicollis;;Dejean, 1828;Présent;CaAmro;Caro;caro;Calathus (Amphyginus) rotundicollis;;;;<= hill ;;;lowland-hill ;lowland-hill ;indifferent;;;indifferent;woodland eurytopic;;woodland (stenotopic);NA;;;;woodland eurytopic;woodland;woodland-not.brachypterous;no risk;safe;NA;NA;7,8;6-11,9;NA;dimorphic;NA;NA;dimorf;;;;NA;polymorphic;not.brachypterous;NA;autumn;NA;NA;spring/summer;;autumn;;NA;spring/autumn;adult and larvae or only larvae;NA;NA;imago;;nocturnal;NA;NA;mainly nocturnal;NA;NA;one year;NA;generalist predator;NA;NA;NA;NA;NA;NA;;;NA;NA;;;;;;;;;NA;;;;;;;;;;;;;forest;forest-eurytopic;eurytopic;eurytopic;;;
67;Fmontargis;;GNB;;4081;Carabidae;Platyninae;;Calathus (Calathus);Calathus;(Calathus);luctuosus;luctuosus;;(Latreille, 1804);Présent;CaCalu;Calu;calc;Calathus (Calathus) luctuosus;;;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;xerophilous;xerophilous;NA;NA;NA;NA;;dry fields and forest edge (stenotopic);;woodland eurytopic;woodland;woodland-not.brachypterous;NA;NA;NA;11.5;;6-11,9;NA;NA;NA;NA;dimorf?;NA;NA;;NA;polymorphic;not.brachypterous;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;NA;forest de pins = habitat préféré (Coulon et al, 2000);;;;;;;;;;;présent en france, espagne portugal celon fauna europaea;forest;forest-eurytopic;eurytopic;eurytopic;;;
68;;;GNB;;4140;Carabidae;Platyninae;;Calathus (Neocalathus);Calathus;(Neocalathus);melanocephalus;melanocephalus;;(Linnaeus, 1758);Présent;CaNeme;Came;came;Calathus (Neocalathus) melanocephalus;;;;mountain-alpine;;;mountain-alpine;mountain-alpine;indifferent;;NA;xerophilous;dry habitat eurytopic;dry;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;7,5;7.2;;6-11,9;dimorphic;dimorphic;dimorphic;dimorphic;dimorf;;;;NA;polymorphic;not.brachypterous;Summer-Autumn;autumn;autumn/winter;autumn breeder;summer/spring;;autumn;;NA;spring/autumn;adult and larvae or only larvae;adult and larvae or only larvae;imago and larvae;imago;;nocturnal;nocturnal;nocturnal;mainly nocturnal;NA;NA;one year;1 year;generalist predator;carnivorous;generalist predators;generalist predators;inscet larva, snail, worm (carnivorus);mixed;NA;;;carnivorous;summer/autumn;;;;;;;;;paleartic;;;;;;;;;;;;;eurytopic;eurytopic;xerophilous;xerophilous-eurytopic;;;
111;;;GNB;V;4157;Carabidae;Chlaeniinae;;Callistus;Callistus;(..);lunatus;lunatus;;(Fabricius, 1775);Présent;Ca..lu;Calu;caln;Callistus lunatus;;yes;;<=mountain;-3;;lowland-mountain;lowland-alpine;thermophilous;;;xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;;calc grasslands, stony slopes and other xerothermic habitats;stony slopes and chalck grasslands;;;;openland;openland;openland-not.brachypterous;critically endangered;extinct in the wild;5.6;5.6;;<6;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;AL;*;;;;;-2;;entirely european;;;;;;;;;;;;;open-habitat;open-eurytopic;xerophilous;xerophilous-eurytopic;;;
2;;;GNB;V;4178;Carabidae;Carabinae;;Calosoma (Calosoma);Calosoma;(Calosoma);inquisitor;inquisitor;;(Linnaeus, 1758);Présent;CaCain;Cain;caiq;Calosoma (Calosoma) inquisitor;;yes;;lowland;-4;;lowland-hill ;lowland-hill ;indifferent;;;indifferent;woodland stenotopic;;woodland (stenotopic);living on tree and woodland (stenotopic);;;;woodland stenotopic;woodland;woodland-not.brachypterous;endangered;vulnerable;16.8;16;;>11,9;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;larvae;;NA;NA;NA;mainly diurnal;NA;NA;NA;NA;NA;NA;NA;NA;NA;Lepidoptera;NA;;;carnivorous;NA;SL;;;;;;;;paleartic;;;;;;;;;;;;;forest;forest-stenotopic;eurytopic;eurytopic;;;
4;Fmontargis;FD Orléans;GNB;V;4206;Carabidae;Carabinae;;Carabus (Archicarabus);Carabus;(Archicarabus);nemoralis;nemoralis;;O.F. Müller, 1764;Présent;CaArne;Cane;cane;Carabus (Archicarabus) nemoralis;;yes;;<=subalpine;-3;;lowland-alpine;lowland-alpine;indifferent;;;indifferent;woodland eurytopic;;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;woodland eurytopic;woodland;woodland-brachypterous;near threatened;safe;23;23;;>11,9;constantly brachypterous;apterous or brachipterous;brachypterous; apterous or brachypterous;brachypter;;;;brachypterous;brachypterous;brachypterous;Spring;spring;spring/summer;spring breeder;spring;;spring;;spring;spring;adult and larvae or only larvae;adult and larvae or only larvae;imago and larvae;larvae;;nocturnal;nocturnal;nocturnal;mainly nocturnal;plastic;NA;one year;1 year;generalist predator;omnivorous;generalist predators;generalist predators;predator (worm, snail), fruit?;carnivorous;NA;;;omnivorous;early spring;SL;;;2;;;-1;-3;entirely european;;;;;;;;;;;polyphages;;forest;forest-stenotopic;eurytopic;eurytopic;;;
3;;;GNB;V;4222;Carabidae;Carabinae;;Carabus (Carabus);Carabus;(Carabus);granulatus;granulatus;;Linnaeus, 1758;Présent;CaCagr;Cagr;cagr;Carabus (Carabus) granulatus;;yes;;lowland;3;;lowland-hill ;lowland-hill ;hygrophilous;;;hygrophilous;moist habitat stenotopic;;other moist habitats (eurytopic) and woodland (stenotopic);meadow forests;;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;20;20;;>11,9;dimorphic;apterous or brachipterous;NA;NA;dimorf;;;;NA;polymorphic;not.brachypterous;Spring;spring;NA;NA;spring;;NA;;NA;spring;adult;NA;NA;larvae;;nocturnal;NA;NA;mainly nocturnal;NA;NA;one year;NA;generalist predator;carnivorous;NA;NA;predator (tipulidae larva, worm, elateridae larva);carnivorous (predator);NA;;;carnivorous;NA;;;;;;;;2;paleartic;;;;;;;;;;;polyphages;;eurytopic;eurytopic;hygrophilous;hygrophilous-stenotopic;;;
6;;FD Orléans;GNB;GNB;4227;Carabidae;Carabinae;;Carabus (Chaetocarabus);Carabus;(Chaetocarabus);intricatus;intricatus;;Linnaeus, 1761;Présent;CaChin;Cain;cait;Carabus (Chaetocarabus) intricatus;;;;<=subalpine;;;lowland-alpine;lowland-alpine;indifferent;;;indifferent;woodland stenotopic;;woodland (eurytopic);woodland (stenotopic);;;;woodland stenotopic;woodland;woodland-brachypterous;critically endangered;extinct in the wild;30;30;;>11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;NA;brachypterous;brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;larvae;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;europe : insects coming to baits for lepidoptera…   - predator;NA;;;carnivorous;NA;;;;;;;;;entirely european;;;;;;;;;;;polyphages;;forest;forest-stenotopic;eurytopic;eurytopic;;;
7;Fmontargis;;GNB;GNB;4237;Carabidae;Carabinae;;Carabus (Chrysocarabus);Carabus;(Chrysocarabus);auronitens;auronitens;;Fabricius, 1792;Présent;CaChau;Caau;caai;Carabus (Chrysocarabus) auronitens;;;;<=subalpine;;;lowland-alpine;lowland-alpine;indifferent;;;indifferent;woodland stenotopic;;woodland (stenotopic);woodland (stenotopic) and meadow forest;;;;woodland stenotopic;woodland;woodland-brachypterous;rare;suspectible;26;26;;>11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;brachypterous;brachypterous;brachypterous;Spring;NA;NA;NA;spring;;NA;;spring;spring;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;carnivorous;NA;NA;NA;predator (relatively omnivorous in captivity);NA;;;carnivorous;NA;;;;;;;;;entirely european;;;;;;;;;;;polyphages;;forest;forest-stenotopic;eurytopic;eurytopic;;;
