classement systematique;FD Montargis;F Orléans et alentours;GNB;Vallees2007;n FE;Famille;Sous Famille;Tribu;Genre SousGenre;Genre;(SousGenre);Espèce SousEspèce;Espèce;SousEspèce;Auteur;France;code6;code4;code_sp;Genre SousGenre Espèce;Synonymous;Entomotec validation for the valley reference collection;J. COULON validation for the valley reference collection;altitude (Coulon et al, 2000);(2)altitude classes desender 1986;Altitude Jeannel;"altitude I (lowland-mountain;lowland-atpine)";altitude II (lowland-alpine);humidity (Coulon et al, 2000);humidity Jeannel;Freude Harde lohse  1976;humidity;habitat type desender etal 2008;consistensy (desender 2008);HK desender 1995;(10)habitat preference codes desender 1986;habitat type Jeannel;Habitat type Freude Harde lohse  1976;"habitat type 
(Coulon et al, 2000)";closeness 2;closeness 1;closeness.wing;RLK desender 1995;redlist categories desender etal 2008;(7)mean beetle size(mm) desender 1986;mean-beetle-size(mm)-desender-etal-2008 ou Hurka;Beetle size Ribera et al 1999;mean-beetle-size(mm);(8)wing developmental type desender 1986;Wing development Ribera et al.1999;Wing development Barbaro et al 2009;Wing morphology Cole et al.1999;wing-developmental-type-desender-etal-2008;Wing Hurka et al. 1996;Wing Turin et al. 2000;Wing Jeannel;hing wing development Baguette 1993;wing type;wing1;(9)main reprodutive period desender 1986;breeding season Ribera et al.1999;breeding season Cole et al.2002;Breeding season Barbaro et al 2009;Mating and ovoposition Turin et al 2000;Reproduction Luff 1998;breeding season den boer 1990;reproductive season butterfield 1996;Reproductive seasons Baguette 1993;Breeding season;overwintering Ribera et al.1999;overwintering Cole et al.2002;Overwintering Barbaro et al 2009;Overwintering Turin et al 2000;overwintering butterfield 1996;daily activity Ribera et al.l999.;daily activity Cole et al.2002.;Daily activity Barbaro et al 2009;Daily activity Turin at 2009;Daily activity Greenslade 1963;daily activity Luff 1978;duration of the life cycle Ribera et al.1999;life cycle Cole et al.1999;food of the adult Ribera et al 1999.;Feeding group Purtauf et al 2005;food of the adults Cole et al2002.;Diet Barbaro et al 2009;Diet Turin et al 2000;Diet Larochelle 1990;Diet Zetto ;Diet Freude Harde lohse  1976;Diet coleotteri carabidi 2005;Diet;Adult activity period Barbaro et al 2009;(3)soil type affinity desender 1986;(4)calc soil affinity desender 1986;(5)acid sand clay affinity desender 1986;(6)woodland cover desender 1986;(7)woodland type desender 1986;(8)river rivulets affinity desender 1986;(10)aridity index desender 1986;(11)minimal temp reaction desender 1986;(4)total distribution area desender 1986;Coulon observations;desender observations;Cole observation;Turin observations;Jeannel observations;larochelle observations;zetto observations;Luff observations;den boer observations;butterfield observations;loreau observations;general observations;closeness 1;closeness 2;humidity 1;humidity 2;;;
60;;;;V;3323;Carabidae;Platyninae;;Agonum (Melanagonum);Agonum;(Melanagonum);afrum;afrum;;(Duftschmid, 1812);Présent;AgMeaf;Agaf;agaf;Agonum (Melanagonum) afrum;;yes;OD prep validated by J. coulon;<= hill ;NA;;<= hill ;<= hill ;palustrine;;;palustrine;;;NA;;;;;;;;NA;;;7.5-9.5;;7.5-9.5;;NA;;;macropter;;;;;macropter;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;open-habitat;open-eurytopic;hygrophilous;hygrophilous-eurytopic;;;
62;;;;V;3340;Carabidae;Platyninae;;Agonum (Punctagonum);Agonum;(Punctagonum);viridicupreum;viridicupreum;;(Goeze, 1777);Présent;AgPuvi;Agvi;agvi;Agonum (Punctagonum) viridicupreum;;yes;;<=mountain;-4;;<=mountain;<=mountain;hygrophilous;;;hygrophilous;moist-grassland;;moist grasslands;13;;;;moist-grassland;moist-grassland;;rare;suspectible;9;9;;9;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;AL;NA;NA;NA;NA;NA;NA;NA;A;;;;;;;;;;;;;open-habitat;open-stenotopic;hygrophilous;hygrophilous-stenotopic;;;
70;;FD Orléans;GNB;V;3358;Carabidae;Pterostichinae;Zabrini;Amara (Amara);Amara;(Amara);aenea;aenea;;(De Geer, 1774);Présent;AmAmae;Amae;amae;Amara (Amara) aenea;;yes;;<=mountain;2;;lowland-mountain;lowland-alpine;indifferent;;xerophilous;xerophilous;dry habitat eurytopic;dry;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;7.5;7.5;;6-11,9;constantly macropterous;macropterous;macropterous;NA;macropter;;;;macropterous;macropterous;not.brachypterous;Spring;spring;NA;spring breeder;spring;;spring;;spring;spring;adult;NA;imago only;larvae;;diurnal;NA;diurnal;mainly diurnal;NA;NA;one year;NA;mostly plant material;phytophagous;NA;phytophagous or mixed;phytophagous or mixed;omnivorous (England's field spores, vegetal tissue- Denmark seed- Canada A. sputator larva) ;NA;;;mostly phytophagous;early spring;L+ZL;;;;;;3;5;paleartic;;;;;;;;;;;;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
71;;;GNB;V;3362;Carabidae;Pterostichinae;Zabrini;Amara (Amara);Amara;(Amara);communis;communis;;(Panzer, 1797);Présent;AmAmco;Amcm;amcm;Amara (Amara) communis;;yes;validated by J. Coulon;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;hygrophilous (low);hygrophilous;moist habitat eurytopic;moist;other moist habitats (eurytopic);different humid habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;7;7;;6-11,9;constantly macropterous;macropterous;macropterous;macropterous;macropter;;;;macropterous;macropterous;not.brachypterous;Spring;spring;spring/summer;spring breeder;spring;;spring;;spring;spring;adult and larvae or only larvae;adult and larvae or only larvae;imago and larvae;larvae;;diurnal;diurnal;diurnal;mainly diurnal;plastic;NA;one year;1 year;mostly plant material;phytophagous;mostly plant;phytophagous or mixed;phytophagous or mixed;mixed? (germany wheat in field - Lumbrucus in captivity);NA;;;mostly phytophagous;early spring;Z+ZL;;;;;;;;paleartic;;;;;;;;;;;;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
72;;;GNB;V;3363;Carabidae;Pterostichinae;Zabrini;Amara (Amara);Amara;(Amara);convexior;convexior;;Stephens, 1828;Présent;AmAmco;Amcv;amcv;Amara (Amara) convexior;;yes;;<=mountain;-3;;lowland-mountain;lowland-alpine;indifferent;;xerophilous;xerophilous;dry grassland;dry;dry grasslands;dry grasslands and woodland (eurytopic);;;;openland;openland;openland-not.brachypterous;vulnerable;suspectible;8;8;;6-11,9;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;NA;;NA;NA;NA;mainly diurnal;NA;NA;NA;NA;NA;phytophagous;NA;NA;NA;mixed (England staphylin, Italy granivorous);NA;;;mostly phytophagous;NA;;*;;2;5;;-2;;NA;;;;;;;;;;;;;eurytopic;eurytopic;eurytopic;eurytopic;;;
73;;;;V;3365;Carabidae;Pterostichinae;Zabrini;Amara (Amara);Amara;(Amara);eurynota;eurynota;;(Panzer, 1797);Présent;AmAmeu;Ameu;ameu;Amara (Amara) eurynota;;yes;;<=mountain;-4;;<=mountain;<=mountain;indifferent;;;indifferent;dry-grassland;;dry grasslands. rudeal sites and arable land;14;;;;dry-grassland;dry-grassland;;vulnerable;suspectible;11;11;;11;m;3;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;mostly plant material;phytophagous;mostly plant;NA;NA;principally granivorous (exept in Russia, undetermined insect);NA;;;;;L;;;;;;;;A;;;;;;;;;;;;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
74;;;;V;3367;Carabidae;Pterostichinae;Zabrini;Amara (Amara);Amara;(Amara);familiaris;familiaris;;(Duftschmid, 1812);Présent;AmAmfa;Amfa;amfa;Amara (Amara) familiaris;;??;;<=mountain;3;;<=mountain;<=mountain;indifferent;;;indifferent;dry-grassland;;dry habitat-eurytopic;19;;;;dry-grassland;dry-grassland;;no risk;safe;6.5;6.5;;6.5;m;3;;;macropter;;;;;macropter;;Spring;;;;;Trechus (Trechus) cuniculorum;;;;;;;;;;;;;;;;;;mostly plant material;phytophagous;mostly plant;NA;NA;phytophagous in field possibility of carnivorous behavior in captivity and in field;NA;;;;;L+ZL;;;;;;3;3;A;;;;;;;;;;;;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
75;Fmontargis;FD Orléans;GNB;GNB;3371;Carabidae;Pterostichinae;Zabrini;Amara (Amara);Amara;(Amara);lunicollis;lunicollis;;Schiödte, 1837;Présent;;;amlu;Amara (Amara) lunicollis;;;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;NA;hygrophilous;moist habitat eurytopic;moist;other moist habitats (eurytopic);different humid habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;7,5;7.7;;6-11,9;constantly macropterous;macropterous;macropterous;macropterous;macropter;;;;macropterous;macropterous;not.brachypterous;Spring;spring;spring/summer;summer breeder;spring;;spring;;spring;spring;adult;adult;imago only;larvae;;diurnal;diurnal;diurnal;diurnal;plastic;NA;one year;1 year;mostly plant material;phytophagous;mostly plant;phytophagous or mixed;phytophagous or mixed;mixed;NA;;;mostly phytophagous;early spring;;;;;;;;;paleartic;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-eurytopic;;;
76;;;GNB;V;3372;Carabidae;Pterostichinae;Zabrini;Amara (Amara);Amara;(Amara);montivaga;montivaga;;Sturm, 1825;Présent;AmAmmo;Ammo;ammo;Amara (Amara) montivaga;;yes;;mountain-subalpine;-4;;mountain-alpine;mountain-alpine;indifferent;;xerophilous;xerophilous;dry grassland;dry;dry grasslands;stony slopes and chalck grasslands;;;;openland;openland;openland-not.brachypterous;vulnerable;vulnerable;8.5;8.5;;6-11,9;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;NA;NA;NA;NA;;NA;;NA;spring;NA;NA;NA;larvae;;NA;NA;NA;NA;NA;NA;NA;NA;NA;phytophagous;NA;NA;NA;phytophagous;NA;;;mostly phytophagous;NA;AL;*;;2;5;;-2;-3;paleartic;;;;;;;;;;;;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
77;;FD Orléans;GNB;V;3377;Carabidae;Pterostichinae;Zabrini;Amara (Amara);Amara;(Amara);ovata;ovata;;(Fabricius, 1792);Présent;AmAmov;Amov;amov;Amara (Amara) ovata;;yes;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;xerophilous;xerophilous;dry grassland;dry;dry grasslands;dry grasslands;;;;openland;openland;openland-not.brachypterous;no risk;safe;8.8;8.8;;6-11,9;constantly macropterous;macropterous;NA;macropterous;macropter;;;;NA;macropterous;not.brachypterous;Spring;spring;spring/summer;NA;spring;;NA;;NA;spring;adult;adult;NA;larvae;;NA;diurnal;NA;NA;NA;NA;one year;1 year;mostly plant material;phytophagous;mostly plant;NA;NA;principally phytophagous ;NA;;;mostly phytophagous;NA;;*;;;;;;;paleartic;;;species where specific attribute information was assumed to be similar to the most related species for daily activity;;;;;;;;;;eurytopic;eurytopic;eurytopic;eurytopic;;;
