parcelle;nichoir;n nichoir;plot;cercle;nichoir-cercle;Ptrap;plot_Ptrap;MEL_cercle;MEL_cercle_cat;MEL;Mel_cat;Hmoy;BOULV;CHAR;CHAT;CHP;CHS;CHSP;CH_tot;AUB;GEN;NEF;POM;PS;TREM;G_Ch_PS;ALT;latitude;longitude;nichoir selec polytrap;veg1;taux_veg1;veg2;taux_veg2;hmax;hinter;hmin;hmoy;hsd
55;554;4;55-4;W;554-W;PW;55-4_PW;22;PS_dom_c;46;MEL;24.8;0;0;0;0;0;3.4;3.4;0;0;0;0.2;12.2;0;15.6;0;47.8;2.6;1;FA;70;MOL;30;24.4;23.8;23.8;24;0.3
61;613;3;61-3;E;613-E;PE;61-3_PE;57;MEL_c;65;MEL;24.6;0;0;0;0;11.6;0;11.6;0;0;0;0;8.8;0;20.4;0;47.8;2.5;1;FA;40;NA;NA;22.7;22.4;22.1;22.4;0.3
61;613;3;61-3;N;613-N;PN;61-3_PN;100;CH_pur_c;65;MEL;24.6;1.6;0;0;0;19.3;0;19.3;0;0;0;0;0;0;19.3;2.8;47.8;2.5;1;CH300;30;BRYO;30;26.8;25.3;24.6;25.6;1.1
61;613;3;61-3;S;613-S;PS;61-3_PS;29;PS_dom_c;65;MEL;24.6;0;0;0;0;11.5;1.6;13.1;0;0;0;0;31.6;0;44.7;2.1;47.8;2.5;1;CH300;70;NA;NA;26.9;26.3;26;26.4;0.5
61;613;3;61-3;W;613-W;PW;61-3_PW;90;CH_pur_c;65;MEL;24.6;0;0;0;0;19.7;0;19.7;0;0;0;0;2.2;0;21.9;0.4;47.8;2.5;1;CH300;70;NA;NA;24.7;24.5;22.6;23.9;1.2
61;614;4;61-4;E;614-E;PE;61-4_PE;50;MEL_c;65;MEL;26;0;0;0;0;16.4;0;16.4;0;0;0;0;16.3;0;32.7;0.4;47.8;2.5;1;FA;50;NA;NA;24.6;23.1;22.7;23.5;1
61;614;4;61-4;N;614-N;PN;61-4_PN;80;CH_dom_c;65;MEL;26;0;0;0;0;11.4;0;11.4;0;0;0;0;2.8;0;14.2;0.4;47.8;2.5;1;FA;90;NA;NA;27.3;26.3;25.7;26.4;0.8
61;614;4;61-4;S;614-S;PS;61-4_PS;99;CH_pur_c;65;MEL;26;0;0;0;0;23.1;0;23.1;0;0;0;0;0.2;0;23.3;0;47.8;2.5;1;CH600;60;FA;40;28.5;28.3;27.8;28.2;0.4
61;614;4;61-4;W;614-W;PW;61-4_PW;80;CH_dom_c;65;MEL;26;1.4;0;0;0;15.9;0;15.9;0;0;0;0;4;0;19.9;1.5;47.8;2.5;1;CH300;30;FA;30;25.9;25.6;25.6;25.7;0.2
75;754;4;75-4;E;754-E;PE;75-4_PE;11.9;PS_dom_c;25.8;PS_dom;25;0;0;0;0;4.8;0;4.8;0;0;0;0;35.7;0;40.5;0;47.8;2.5;1;BRYO;30;MOL;20;27.2;26.6;25.4;26.4;0.9
75;754;4;75-4;N;754-N;PN;75-4_PN;9.2;PS_pur_c;25.8;PS_dom;25;0;0;0;0;1.6;2.7;4.3;0;0;0;0;42.3;0;46.6;0;47.8;2.5;1;RON;60;BRYO;10;24.4;22.9;22.5;23.3;1
75;754;4;75-4;S;754-S;PS;75-4_PS;63.3;MEL_c;25.8;PS_dom;25;0;0;0;0;16.2;0;16.2;0;0;0;0;9.4;0;25.6;0;47.8;2.5;1;MOL;70;RON;10;28.4;28;25.4;26.9;2.1
75;754;4;75-4;W;754-W;PW;75-4_PW;0;PS_pur_c;25.8;PS_dom;25;0;0;0;0;0;0;0;3.5;0;0;0;24.5;0;24.5;1.3;47.8;2.5;1;BRYO;10;MOL;10;23.8;23.6;23.3;23.6;0.3
110;1104;4;110-4;E;1104-E;PE;110-4_PE;60;MEL_c;54;MEL;24.4;5.5;0;0;0;18.5;0.2;18.7;0;0;0;0;12.4;0;31.1;0;47.8;2.5;1;FA;100;NA;NA;23.4;22.7;22.4;22.8;0.5
110;1104;4;110-4;N;1104-N;PN;110-4_PN;49;MEL_c;54;MEL;24.4;0;1.9;0;0;7.5;0;7.5;0;0;0;0;7.8;0;15.3;2.8;47.8;2.5;1;FA;90;MOL;10;22.4;22.3;21.8;22.2;0.3
110;1104;4;110-4;S;1104-S;PS;110-4_PS;38;MEL_c;54;MEL;24.4;0;0;0;0;4.7;4;8.7;0;0;0;0;14.3;0;23;0;47.8;2.5;1;FA;70;MOL;30;28.2;27.8;27.6;27.9;0.3
110;1104;4;110-4;W;1104-W;PW;110-4_PW;32;MEL_c;54;MEL;24.4;0;0;0;0;6.3;0;6.3;0;0;0;0;13.6;0;19.9;0;47.8;2.5;1;FA;100;NA;NA;25.6;24.9;23.9;24.8;0.9
111;1111;1;111-1;E;1111-E;PE;111-1_PE;86;CH_dom_c;91;CH_pur;25;0;0;0;0;13.1;0;13.1;0;0;0;0;2.2;0;15.3;0;47.8;2.5;1;FA;80;MOL;10;23.3;23.1;22.7;23;0.3
111;1111;1;111-1;N;1111-N;PN;111-1_PN;100;CH_pur_c;91;CH_pur;25;0;0;0;0;6.9;0;6.9;0;0;0;0;0;0;6.9;1.5;47.8;2.5;1;FA;50;NA;NA;25.4;25.2;25;25.2;0.2
111;1111;1;111-1;S;1111-S;PS;111-1_PS;86;CH_dom_c;91;CH_pur;25;0;0;0;0;10.4;2.8;13.2;0;0;0;0;2.2;0;15.4;0.2;47.8;2.5;1;FA;80;BM;20;25.8;25.7;24.6;25.4;0.7
111;1111;1;111-1;W;1111-W;PW;111-1_PW;100;CH_pur_c;91;CH_pur;25;0;0;0;0;25.2;0.7;25.9;0;0;0;0;0;0;25.9;0;47.8;2.5;1;FA;60;NA;NA;26.8;26.7;25.7;26.4;0.6
111;1113;3;111-3;E;1113-E;PE;111-3_PE;69;MEL_c;91;CH_pur;25;0;0;0;0;15.4;0.7;16.1;0;0;0;0;7.2;0;23.3;0;47.8;2.5;1;FA;50;MOL;50;23.5;23.2;23.1;23.3;0.2
111;1113;3;111-3;N;1113-N;PN;111-3_PN;100;CH_pur_c;91;CH_pur;25;1.6;0;0;0;17.8;0;17.8;0;0;0;0;0;0;17.8;0;47.8;2.5;1;MOL;100;NA;NA;22.8;22.5;22.4;22.6;0.2
111;1113;3;111-3;S;1113-S;PS;111-3_PS;79;CH_dom_c;91;CH_pur;25;0;1.6;0;0;5;5.4;10.4;0;0;0;0;2.8;0;13.2;0;47.8;2.5;1;FA;50;MOL;50;26.5;25.8;25.7;26;0.4
111;1113;3;111-3;W;1113-W;PW;111-3_PW;90;CH_pur_c;91;CH_pur;25;0;0;0;0;14.6;6.3;20.9;0;0;0;0;2.2;0;23.1;0;47.8;2.5;1;MOL;90;FA;10;28.3;28.2;27.5;28;0.4
125;1253;3;125-3;E;1253-E;PE;125-3_PE;3;PS_pur_c;1;PS_pur;19.2;0;0;0;0;0.7;0;0.7;0;0;0;0;23.8;0;24.5;0;47.8;2.5;1;FA;90;MOL;5;22.1;21.7;21.6;21.8;0.3
125;1253;3;125-3;N;1253-N;PN;125-3_PN;0;PS_pur_c;1;PS_pur;19.2;0.7;0;0;0;0;0;0;0;0;0;0;24.8;0;24.8;0;47.8;2.5;1;FA;95;MOL;5;20.5;20.3;17.5;19;2.1
125;1253;3;125-3;S;1253-S;PS;125-3_PS;0;PS_pur_c;1;PS_pur;19.2;0;0;0;0;0;0;0;0;0;0;0;25.4;0;25.4;0;47.8;2.5;1;FA;90;MOL;5;19.1;18.9;18.8;18.9;0.2
125;1253;3;125-3;W;1253-W;PW;125-3_PW;0;PS_pur_c;1;PS_pur;19.2;0.7;0;0;0;0;0;0;0;0;0;0;22.8;0;22.8;0;47.8;2.5;1;FA;75;MOL;25;17.2;17;16.8;17;0.2
